 -0.0092060976, -0.2156132, 0.88220394;
 -0.0088528711, -0.18413675, 0.85180688;
 -0.0068224375, -0.12076516, 0.65047675;
 -0.0069685155, -0.10472304, 0.66329396;
 -0.0066683451, -0.080635086, 0.63809824;
 -0.0045638662, -0.015677638, 0.43572426;
 -0.0045382138, -0.0035393331, 0.43255463;
 -0.0045354166, 0.0096920645, 0.43068296;
 -0.004513293, 0.022963429, 0.4286426;
 -0.0043222895, 0.033801567, 0.41222247;
 -0.004009753, 0.042845558, 0.38035485;
 -0.0038702702, 0.050869804, 0.36419812;
 -0.0037740609, 0.061602123, 0.35840574;
 0.040189527, -0.99938649, 1.9471501;
 0.048178859, -1.1323757, 2.3455005;
 0.053519998, -1.1881553, 2.6107106;
 0.051330224, -1.0610259, 2.5021379;
 0.053152625, -1.0190121, 2.5922875;
 0.043711942, -0.77646518, 2.1267893;
 0.019014353, -0.28377539, 0.92483115;
 0.019079445, -0.25478941, 0.92527229;
 0.018917033, -0.22423679, 0.91760451;
 0.018926967, -0.19800378, 0.91609514;
 0.013948418, -0.12574178, 0.67778772;
 0.013712644, -0.10502759, 0.66643918;
 0.013454438, -0.082557432, 0.65324086;
 0.010592374, -0.033038117, 0.50722003;
 0.0090072555, -0.015748966, 0.43781784;
 0.0091404133, -0.0034594683, 0.44363338;
 0.0091384416, 0.010367317, 0.44315571;
 0.088442884, -0.62080675, 1.7065802;
 0.050186317, -0.29722518, 0.97077167;
 0.049306534, -0.26171005, 0.95258009;
 0.047941469, -0.22666621, 0.92781597;
 0.047687408, -0.1990376, 0.92173189;
 0.036581755, -0.1310835, 0.7078988;
 0.03529983, -0.1077939, 0.68384409;
 0.03386087, -0.082858682, 0.65566874;
 0.026292097, -0.033884451, 0.50855052;
 0.023081301, -0.016146073, 0.44724476;
 0.024240658, -0.0028784594, 0.4671033;
 0.023581704, 0.010594728, 0.45656624;
 0.1216422, -0.4917821, 1.4711759;
 0.079026476, -0.26307079, 0.95541894;
 0.078112654, -0.23076135, 0.94441187;
 0.077150114, -0.20211285, 0.93307769;
 0.037564415, -0.016276363, 0.45429006;
 0.039015438, -0.0030339474, 0.47064242;
 0.038348388, 0.0109503, 0.46340731;
 0.039127558, 0.025441211, 0.47346133;
 0.025879411, 0.090954289, 0.31320435;
 0.091708295, -0.14814563, 0.80477309;
 0.052472617, -0.016730437, 0.46155259;
