x,y,z,gtx,gty
1.60761,-2.03547,-1.62522,0,0
1.59199,-2.03267,-1.65493,0,0
1.5814,-2.03425,-1.68435,0,0
1.5622,-2.03105,-1.71166,0,0
1.5622,-2.03105,-1.71166,0,0
1.54916,-2.02753,-1.74101,0,0
1.54113,-2.02783,-1.76953,0,0
1.53077,-2.02466,-1.79955,0,0
1.51987,-2.02032,-1.82951,0,0
1.5104,-2.01753,-1.85745,0,0
1.5104,-2.01753,-1.85745,0,0
1.50286,-1.99447,-1.87697,0,0
1.50286,-1.99447,-1.87697,0,0
1.48241,-1.96529,-1.90268,0,0
1.46081,-1.93651,-1.93115,0,0
1.46081,-1.93651,-1.93115,0,0
1.44427,-1.91011,-1.95732,0,0
1.44427,-1.91011,-1.95732,0,0
1.44427,-1.91011,-1.95732,0,0
1.43165,-1.88955,-1.98785,0,0
1.4268,-1.88437,-2.0086,0,0
1.4268,-1.88437,-2.0086,0,0
1.41586,-1.86377,-2.03932,0,0
1.40691,-1.85898,-2.08621,0,0
1.39772,-1.84935,-2.11269,0,0
1.39204,-1.84274,-2.14002,0,0
1.38577,-1.83882,-2.16889,0,0
1.3787,-1.83245,-2.20494,0,0
1.36167,-1.8436,-2.24425,0,0
1.35186,-1.84337,-2.27761,0,0
1.34676,-1.83801,-2.3119,0,0
1.33967,-1.84616,-2.34152,0,0
1.33967,-1.84616,-2.34152,0,0
1.33353,-1.8544,-2.36691,0,0
1.32617,-1.85994,-2.40022,0,0
1.32563,-1.84315,-2.42907,0,0
1.3198,-1.84218,-2.46919,0,0
1.31291,-1.8492,-2.5015,0,0
1.31291,-1.8492,-2.5015,0,0
1.3071,-1.85446,-2.53614,0,0
1.30552,-1.85415,-2.56679,0,0
1.30184,-1.857,-2.60055,0,0
1.30184,-1.857,-2.60055,0,0
1.30184,-1.857,-2.60055,0,0
1.30107,-1.85563,-2.63308,0,0
1.30477,-1.84396,-2.66846,0,0
